UniqueID;fundamental_advice;fund_advice_nrscore;uncle_stock_score;growth_score;value_score;greenblatt_score;piotroski_score;levermann_score;predictability_score;price_iv_buffett;iv_price_buf;rev_price;PL12M
228;5;5;0,85;0,76;0,56;1,14;5,5;7,7;0,84;0,31;0,31;1,67;-0,2535
229;4;4;0,66;0,58;0,5;0,21;9,52;-3,65;0,52;1,69;1,69;0,984;0,0996
230;3;3;0,65;0,64;0,5;0,3;9,47;3,6;0,76;2,08;2,08;0,5775;1,5875
231;4;4;0,74;0,78;0,55;0,8;7,47;1,64;0,52;2,59;2,59;1,07;0,3684
232;3;3;0,63;0,67;0,51;0,45;7,48;2,65;0,74;0,93;0,93;0,5845;-0,248
233;3;3;0,71;0,8;0,51;0,49;8,47;4,67;0,62;0,86;0,86;0,2306;0,5395
234;4;4;0,66;0,64;0,51;1;7,46;6,63;0,68;5,92;5,92;3,18;1,2925
235;4;4;0,76;0,64;0,68;0,75;7,49;0,48;0,67;0,8;0,8;2,41;0,4476
236;4;4;0,73;0,76;0,54;0,64;9,53;7,72;0,68;0,97;0,97;1,01;0,2082
237;3;3;0,61;0,62;0,52;0,34;9,51;1,68;0,67;5,23;5,23;0,6477;0,5342
238;5;5;0,82;0,73;0,7;0,64;9,56;3,56;0,68;0,33;0,33;1,34;0,0095
